SRIASupplierID,Name,VPManager,Crunchbase,Ticker,CompanyID,CreatedAt,UpdatedAt,State,Industry,EmployeeCount
835,"STOR A FILE LTD - UK","Michael Lynch",NULL,NULL,835,"2019-10-22 03:22:37","2022-01-10 19:08:08",NOTT,NULL,NULL
840,"Rebellion Training, LLC","Jim Gorzalski",rehearsal-vrp,NULL,840,"2019-10-22 03:22:37","2022-01-10 19:08:11","CA  ",NULL,NULL
841,"Recovery Database Network, Inc.","Jim Gorzalski",NULL,NULL,841,"2019-10-22 03:22:37","2022-01-10 19:08:11","TX  ",NULL,NULL
842,"Red Blue - UK","Lucy-Marie Hagues",redblue,NULL,842,"2019-10-22 03:22:37","2022-01-10 19:08:11",NULL,NULL,NULL
844,"Reel Media Limited",NULL,NULL,NULL,844,"2019-10-22 03:22:37","2022-01-10 19:08:12",NOTT,NULL,NULL
848,"Reliant Business Valuations","Jim Martin",reliant-business-valuation,NULL,848,"2019-10-22 03:22:37","2022-01-10 19:08:14",,NULL,NULL
849,"RenderX - UK","Robert Harding",renderx,NULL,849,"2019-10-22 03:22:37","2022-01-10 19:08:14",,NULL,NULL
851,"RG Financial Services Limited (Philippines), Inc.","Courtnee Smith",NULL,NULL,851,"2019-10-22 03:22:37","2022-01-10 19:08:15",,NULL,NULL
852,"Richards & Richards","Mark Snyder",NULL,NULL,852,"2019-10-22 03:22:37","2022-01-10 19:08:16",,NULL,NULL
867,"Rubenstein Siegel","Mark Snyder",NULL,NULL,867,"2019-10-22 03:22:37","2022-01-10 19:08:23","ON  ",NULL,NULL
868,"S&P Global Market Intelligence","Jim Martin",NULL,NULL,868,"2019-10-22 03:22:37","2022-01-10 19:08:24",NY,NULL,NULL
881,"Seal Software Inc.","Jon Buckbee",seal-software-com,NULL,881,"2019-10-22 03:22:37","2022-01-11 05:38:25",,NULL,NULL
891,"ServiceLink National Flood","Jon Buckbee",NULL,NULL,891,"2019-10-22 03:22:37","2022-01-10 19:08:34",,NULL,NULL
893,"Shambaugh Leadership","Courtnee Smith",NULL,NULL,893,"2019-10-22 03:22:37","2022-01-10 19:08:35",VA,NULL,NULL
894,"Sherman Financial Group","Jim Martin",sherman-financial-group,NULL,894,"2019-10-22 03:22:37","2022-01-10 19:08:36","NY  ",NULL,NULL
896,"Shockoe.com, LLC","Courtnee Smith",shockoe-com,NULL,896,"2019-10-22 03:22:37","2022-01-11 03:03:40","VA  ",NULL,NULL
897,"Shop Direct Group (Partnership) - UK","Lucy-Marie Hagues",NULL,NULL,897,"2019-10-22 03:22:37","2022-01-10 19:08:37",,NULL,NULL
899,"SITUS REAL LLC","Jon Buckbee",NULL,NULL,899,"2019-10-22 03:22:37","2022-01-10 19:08:38",,NULL,NULL
901,"SMARTY STREETS LLC","Jim Martin",smartystreets,NULL,901,"2019-10-22 03:22:37","2022-01-10 19:08:39","UT  ",NULL,NULL
902,"Social-Engineer, LLC","Courtnee Smith",social-engineer,NULL,902,"2019-10-22 03:22:37","2022-01-10 19:08:39",,NULL,NULL
916,"Standard Register d b a Taylor Communications","Jim Gorzalski",standard-register-co,NULL,916,"2019-10-22 03:22:37","2022-01-10 19:08:44",,NULL,NULL
925,"Success Factors","Courtnee Smith",successfactors,SFSF,925,"2019-10-22 03:22:37","2022-01-11 05:29:07",CA,NULL,NULL
932,"SYNERGY IMPORTS","Courtnee Smith",NULL,NULL,932,"2019-10-22 03:22:37","2022-01-10 19:08:52","MN  ",NULL,NULL
936,"IHS Markit (Commercial Bank)","Jon Buckbee",the-transaction-auditing-group-tag,NULL,936,"2019-10-22 03:22:38","2022-01-11 05:29:06",,NULL,NULL
943,TeleTech,"Courtnee Smith",ttec,TTEC,943,"2019-10-22 03:22:38","2022-01-11 02:46:58","CO  ",NULL,NULL
951,"The Bureaus Inc.","Jim Martin",the-bureaus-inc,NULL,951,"2019-10-22 03:22:38","2022-01-10 19:09:00",,NULL,NULL
953,"The Garden North America Inc.","Patrick Ens",NULL,NULL,953,"2019-10-22 03:22:38","2022-01-10 19:09:02","ON  ",NULL,NULL
956,"THE SEGERDAHL CORP d b a SG360  ","Jim Martin",sg360,NULL,956,"2019-10-22 03:22:38","2022-01-10 19:09:03","IL  ",NULL,NULL
957,"The Writer Ltd - UK","Lucy-Marie Hagues",the-writer-ltd,NULL,957,"2019-10-22 03:22:38","2022-01-10 19:09:04",NULL,NULL,NULL
965,"Totally Money - UK","Lucy-Marie Hagues",media-ingenuity,NULL,965,"2019-10-22 03:22:38","2022-01-10 19:09:08",,NULL,NULL
966,"WILLIS TOWERS WATSON US LLC","Courtnee Smith",watson-wyatt,NULL,966,"2019-10-22 03:22:38","2022-01-10 19:09:08",VA,NULL,NULL
968,"TRADE SHOW SALES FORCE (TSSF)","Jim Martin",NULL,NULL,968,"2019-10-22 03:22:38","2022-01-10 19:09:09","CA  ",NULL,NULL
980,"TrustedSec, LLC","Courtnee Smith",trustedsec,NULL,980,"2019-10-22 03:22:38","2022-01-11 02:46:57",OH,NULL,NULL
990,"UK MAIL - UK","Robert Harding",NULL,NULL,990,"2019-10-22 03:22:38","2022-01-10 19:09:19",,NULL,NULL
995,"Union Privilege","Jim Martin",union-plus,NULL,995,"2019-10-22 03:22:38","2022-01-10 19:09:22","DC  ",NULL,NULL
998,"Urbane Security, LLC","Courtnee Smith",urbane-security,NULL,998,"2019-10-22 03:22:38","2022-01-11 02:43:58",IL,NULL,NULL
1011,Verifacts,"Jim Martin",verifacts,NULL,1011,"2019-10-22 03:22:38","2022-01-11 05:29:04","IL  ",NULL,NULL
1012,"Verifi, Inc.","Jim Gorzalski",verifi,NULL,1012,"2019-10-22 03:22:38","2022-01-11 02:43:57",,NULL,NULL
1023,"Voiance Language Services, LLC","Jim Martin",voiance,NULL,1023,"2019-10-22 03:22:38","2022-01-10 19:09:34",,NULL,NULL
1024,"Voicesage - UK",NULL,voicesage,NULL,1024,"2019-10-22 03:22:38","2022-01-10 19:09:35",,NULL,NULL
1026,"Wake, Inc.","Jim Martin",NULL,NULL,1026,"2019-10-22 03:22:38","2022-01-10 19:09:36",CA,NULL,NULL
1027,"Walking the talk - UK","Michael Lynch",walking-the-talk,NULL,1027,"2019-10-22 03:22:38","2022-01-10 19:09:36",NULL,NULL,NULL
1030,"Wausau (fka Lockbox Software RFP)","Courtnee Smith",wausau-financial-systems,NULL,1030,"2019-10-22 03:22:38","2022-01-10 19:09:38","WI  ",NULL,NULL
1032,"West Corporation","Jon Buckbee",west-corporation,WSTC,1032,"2019-10-22 03:22:38","2022-01-11 05:27:33",TN,NULL,NULL
1033,"West Publishing Corporation dba Serengeti Law","Molly Dodge",NULL,NULL,1033,"2019-10-22 03:22:38","2022-01-10 19:09:39",WA,NULL,NULL
1034,"West UC (f.k.a. Intercall)","Jon Buckbee",intercall,NULL,1034,"2019-10-22 03:22:38","2022-01-10 19:09:39",,NULL,NULL
1042,"Wilson Learning Worldwide Inc.","Melissa Jiulianti",wilson-learning,9610,1042,"2019-10-22 03:22:38","2022-01-10 19:09:43","MN  ",NULL,NULL
1044,"Wing Ltd - UK","Lucy-Marie Hagues",NULL,NULL,1044,"2019-10-22 03:22:38","2022-01-10 19:09:44",NULL,NULL,NULL
1047,"WISER TOGETHER","Courtnee Smith",wisertogether,NULL,1047,"2019-10-22 03:22:38","2022-01-10 19:09:45",DC,NULL,NULL
1056,"ZACHARY T HAYNES","Jon Buckbee",NULL,NULL,1056,"2019-10-22 03:22:39","2022-01-10 19:09:50",,NULL,NULL
1065,BRANDITO,"Courtnee Smith",brandito,NULL,1065,"2019-10-22 03:22:39","2022-01-11 05:14:50","VA  ",NULL,NULL
1071,"ID Dataweb, Inc.","Jim Martin",id-dataweb,NULL,1071,"2019-10-22 03:22:39","2022-01-11 05:14:50",,NULL,NULL
1076,"Mortgage Industry Advisory Corporation","Jon Buckbee",mortgage-industry-advisory-corporation,NULL,1076,"2019-10-22 03:22:39","2022-01-11 05:14:50",,NULL,NULL
1077,"MountainView Analytics, LLC","Jon Buckbee",NULL,NULL,1077,"2019-10-22 03:22:39","2022-01-10 19:09:59","CO  ",NULL,NULL
1078,"Short's Travel Management, Inc.","Courtnee Smith",shorts-travel-management,NULL,1078,"2019-10-22 03:22:39","2022-01-11 02:43:49",,NULL,NULL
1092,"Motional LLC",NULL,motional-ai,NULL,1092,"2019-10-22 03:22:39","2022-01-11 05:14:49",CA,NULL,NULL
1105,Grovo,NULL,grovo,NULL,1105,"2019-11-15 23:25:23","2022-01-10 19:10:12","NY  ",NULL,NULL
1108,"VROOM INC (Marketing Agreement)",NULL,vroom-com,VRM,1108,"2019-11-15 23:30:26","2022-01-10 19:10:14",NULL,NULL,NULL
1114,"DIGITAL OCEAN INC",NULL,digitalocean,DOCN,1114,"2020-05-22 04:16:12","2022-01-11 06:46:05","NY  ",NULL,NULL
1126,"Appbot Pty Ltd",NULL,appbot,NULL,1126,"2020-05-22 04:16:12","2022-01-10 19:10:22",,NULL,NULL
1130,"Aspen Finn",NULL,NULL,NULL,1130,"2020-05-22 04:16:12","2022-01-10 19:10:23",,NULL,NULL
1143,"DIVERSIFIED MEDIA GROUP LLC",NULL,NULL,NULL,1143,"2020-05-22 04:16:12","2022-01-10 19:10:27",,NULL,NULL
1144,"Google Ads",NULL,NULL,NULL,1144,"2020-05-22 04:16:12","2022-01-10 19:10:28",,NULL,NULL
1159,"Nationwide Mortgage Licensing System & Registry (NMLS)",NULL,NULL,NULL,1159,"2020-06-10 08:57:17","2022-01-10 19:10:33",,NULL,NULL
1166,"S2 Inspections LLC",NULL,NULL,NULL,1166,"2020-06-10 08:57:17","2022-01-10 19:10:36",,NULL,NULL
1169,"Xtract Research LLC",NULL,xtract-research-llc,NULL,1169,"2020-06-10 08:57:17","2022-01-10 19:10:38",,NULL,NULL
1177,"Restaurant Associates",NULL,NULL,NULL,1177,"2020-06-10 08:57:17","2022-01-10 19:10:42","NY  ",NULL,NULL
1179,"RetailUnion Partners, LLC",NULL,NULL,NULL,1179,"2020-06-10 08:57:17","2022-01-10 19:10:43",,NULL,NULL
1180,"Artesian Collaborative, LLC",NULL,NULL,NULL,1180,"2020-06-10 08:57:17","2022-01-10 19:10:43",,NULL,NULL
1182,"Go Deep Strategy, LLC",NULL,NULL,NULL,1182,"2020-06-10 08:57:17","2022-01-10 19:10:44",,NULL,NULL
1183,"Chirp Research, LLC",NULL,NULL,NULL,1183,"2020-06-10 08:57:17","2022-01-10 19:10:44","TX  ",NULL,NULL
1186,"Floating Pixels UG (haftungsbeschraenkt)",NULL,NULL,NULL,1186,"2020-06-10 08:57:17","2022-01-10 19:10:46",,NULL,NULL
1194,"Gurock Software GmbH",NULL,gurock,NULL,1194,"2020-10-01 19:03:57","2022-01-10 19:10:48",,NULL,NULL
1201,"Ontic Technologies",NULL,ontic-technologies,NULL,1201,"2020-10-01 19:03:58","2022-01-10 19:10:51",,NULL,NULL
1210,"CDN-The Mustard Shop Ltd.",NULL,NULL,NULL,1210,"2020-10-01 19:03:59","2022-01-10 19:10:54",,NULL,NULL
1212,"CDN-Max Kopanygin",NULL,NULL,NULL,1212,"2020-10-01 19:04:00","2022-01-10 19:10:55",,NULL,NULL
1213,"CDN-Arthur Mola",NULL,NULL,NULL,1213,"2020-10-01 19:04:00","2022-01-10 19:10:55",,NULL,NULL
1219,Slido,NULL,sli-do,NULL,1219,"2020-10-01 19:04:01","2022-01-10 19:10:57",,NULL,NULL
1220,"InPlace Auction LLC",NULL,NULL,NULL,1220,"2020-10-01 19:04:01","2022-01-10 19:10:58",,NULL,NULL
1240,"Skedda Pty Ltd",NULL,skedda-bookings,NULL,1240,"2020-10-01 19:04:04","2022-01-10 19:11:03",,NULL,NULL
1241,"AutoTitling Company",NULL,NULL,NULL,1241,"2020-10-01 19:04:04","2022-01-10 19:11:04",,NULL,NULL
1246,"Panther Integrated Services, Inc.",NULL,NULL,NULL,1246,"2020-10-01 19:04:04","2022-01-10 19:11:06",,NULL,NULL
1247,"Propared, LLC",NULL,NULL,NULL,1247,"2020-10-01 19:04:05","2022-01-10 19:11:06",,NULL,NULL
1255,"EMVCo, LLC",NULL,emvco,NULL,1255,"2020-10-01 19:04:05","2022-01-10 19:11:09",,NULL,NULL
1260,"Modern Human Design Ltd. - UK",NULL,NULL,NULL,1260,"2020-10-01 19:04:06","2022-01-10 19:11:10",,NULL,NULL
1273,"Evinced, Inc.",NULL,evinced,NULL,1273,"2020-10-01 19:04:10","2022-01-10 19:11:15",,NULL,NULL
1281,"Schwa Consulting Ltd - UK",NULL,NULL,NULL,1281,"2020-10-01 19:04:11","2022-01-10 19:11:17",,NULL,NULL
1287,"Eaton Corporation",NULL,optimum-path-inc,NULL,1287,"2020-10-01 19:04:13","2022-01-10 19:11:20",,NULL,NULL
1295,"The Bink Group, LLC",NULL,NULL,NULL,1295,"2020-10-01 19:04:14","2022-01-10 19:11:24","AZ  ",NULL,NULL
1296,"Varicent US Corporation",NULL,NULL,NULL,1296,"2020-10-01 19:04:14","2022-01-10 19:11:24",,NULL,NULL
1300,EntreHustle,NULL,NULL,NULL,1300,"2020-10-01 19:04:15","2022-01-10 19:11:26",,NULL,NULL
1304,"Modern Hire Inc.",NULL,shaker-international,NULL,1304,"2020-10-01 19:04:15","2022-01-10 19:11:28",,NULL,NULL
